track_name,track_id,album_name,album_id,artist_name,artist_id,artist_popularity,track_popularity,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,energy_danceability,acoustic_instrumental_diff,mood_index,latent_0,latent_1,latent_2,latent_3,cluster_id
Precious Peace,5J0dDhvw90m6LcPnTCHqVB,At Peace,6PSuNS9Sqju3Cjgv6rOF4Z,Joe Bongiorno,1GQRsXGRflc5s8z3OmeL4z,34.0,9.0,,0.519,0.114,8.0,-20.554,1.0,0.0548,0.993,0.919,0.141,0.0769,75.75,234653.0,0.059166,0.0739999999999999,0.09545,-4.391888,0.5916712,3.1805577,2.8276253,4
"Keyboard Sonata in E Minor, Wq. 49/3, H. 33, ""Wurttemberg Sonata No. 3"": I. Allegro",4OkTLeJWGwSTNa8iSqLxzL,"Bach, C.P.E.: Wurttemberg Sonatas Nos. 1-6 / Keyboard Concertos, Wq. 23, H. 427",4tSAnXWrx8RaVov9CSo2if,Carl Philipp Emanuel Bach,3meioy7GWDwpwmjv2LPyAb,59.0,1.0,2005-01-01,0.397,0.115,7.0,-25.276,1.0,0.0441,0.993,0.877,0.125,0.189,135.772,201747.0,0.045655,0.1159999999999999,0.152,-7.071125,-0.41939935,5.2513022,2.6084313,4
Around The World,0ByC7DPj6qJK3FfcpNoWWg,Around The World,4TIsfEUceYAfABg01yq0jV,Atlas Plug,39ZK2Yf7SuSmYONbsmDEfv,26.0,25.0,2009-01-08,0.636,0.905,6.0,-7.435,0.0,0.0294,0.00165,0.845,0.0859,0.632,139.991,273667.0,0.57558,-0.8433499999999999,0.7685,-0.7898249,1.5163555,2.7850437,-1.9289668,0
Gadget - Gak Sato 99' Edit,3ijbZnKjENuSizMVny9mkm,Rare & Unreleased,0XBEQCay5X6zvNR1ky2cFM,Piero Umiliani,5sD7Cf3SaTVcrg81GQi1Xk,56.0,0.0,2007-01-01,0.743,0.913,11.0,-7.079,1.0,0.0421,0.00574,0.88,0.0735,0.778,102.947,305712.0,0.678359,-0.87426,0.8455,-0.77119863,2.652401,2.028425,-1.3056632,0
Crucem Tuam,3npR0ElM8qAVd3xNh51LzM,O Fortuna,2ZF5195OKTDqCe4F3lZxPZ,Traditional,1U5zgr455OGyIkLNXvDdrf,61.0,0.0,2014-02-21,0.796,0.136,11.0,-22.994,0.0,0.043,0.399,0.797,0.093,0.425,120.016,369680.0,0.108256,-0.398,0.2804999999999999,-5.891077,4.1432667,5.9449697,0.69990104,0
Nuvole Bianche - Piano Solo,4hcExGt2tTKJbAKJ4EyiJZ,Nuvole Bianche,4SOQSRvsmXeJ5LyGqIJKZT,Lorenzo de Luca,066zsVBUHiczTxhgdRW29H,31.0,4.0,2016-01-06,0.347,0.327,8.0,-13.736,1.0,0.06,0.962,0.867,0.1,0.0391,124.19,360420.0,0.113469,0.0949999999999999,0.18305,-1.4853835,-0.8370489,2.8314447,1.7155975,4
Presentación - En Vivo Desde Valle De Bravo/2012,5pepxDM0dH9G9XAk3HTeVP,Valle De Bravo Vibra... En Vivo,1hKLVN83w7vvkjBX1sojqZ,Tierra Cali,4JqzwqRUOCEHeIVRDWG5Jv,64.0,0.0,2013-01-01,0.263,0.975,7.0,-4.942,1.0,0.413,0.11,4.28e-05,0.418,0.363,150.221,217507.0,0.256425,0.1099572,0.669,3.9965186,-8.432512,-0.7343577,-0.5406052,5
Invincible (feat. Pheel Balliana) [Timo Jahns Radio Remix],3caGB2owCpckeyZMCtF8NM,Invincible (feat. Pheel Balliana) - EP,77NYkt4EWOuGvTrVeZp7Ev,Bart & Baker,1SqMdUGzBNOFB8rDdtiOxN,36.0,1.0,2015-11-13,0.633,0.804,1.0,-6.839,1.0,0.0419,0.0071,0.000204,0.151,0.151,119.998,245829.0,0.508932,0.006896,0.4775,0.413996,-0.9267116,0.14369637,0.17538601,1
Bluish,5gPuqcTXcjHPb6elHikRgL,Micromassé,5OZ3dtCudYbvXchujfgiL4,Micromassé,1ehBfIZCrZJIEalWkQ8qaT,0.0,0.0,2014-02-01,0.38,0.429,5.0,-10.25,0.0,0.0336,0.781,0.871,0.0997,0.037,102.252,240928.0,0.16302,-0.0899999999999999,0.2329999999999999,-0.3639592,-0.2113863,2.058293,1.5735775,1
"Strauss Jr., J.: An der schönen blauen Donau, Op. 314",1OubXJT2gVV2Adh0QSdJ6T,Famous Strauss Waltzes,3xmZEzWAAaMf3HDAiY9Eyq,Johann Strauss II,5goS0v24Fc1ydjCKQRwtjM,56.0,26.0,,0.3,0.113,2.0,-18.065,1.0,0.0341,0.967,0.857,0.346,0.183,103.759,563533.0,0.0339,0.1099999999999999,0.148,-3.3777528,-1.291558,2.6580358,3.5781045,4
